Period,ReporterISO,ReporterDesc,PartnerISO,PartnerDesc,PrimaryValue
1998,TWN,"China, Taiwan",ISR,Israel,4529767.0
1998,TWN,"China, Taiwan",ITA,Italy,5943788.0
1998,TWN,"China, Taiwan",CIV,Côte d'Ivoire,2484.0
1998,TWN,"China, Taiwan",JPN,Japan,955076416.0
1998,TWN,"China, Taiwan",JOR,Jordan,19579.0
1998,TWN,"China, Taiwan",KEN,Kenya,146892.0
1998,TWN,"China, Taiwan",KOR,Rep. of Korea,458431456.0
1998,TWN,"China, Taiwan",KWT,Kuwait,41077.0
1998,TWN,"China, Taiwan",LBN,Lebanon,133209.0
1998,TWN,"China, Taiwan",LVA,Latvia,778.0
1998,TWN,"China, Taiwan",LBY,Libya,1826.0
1998,TWN,"China, Taiwan",LTU,Lithuania,26437.0
1998,TWN,"China, Taiwan",MAC,"China, Macao SAR",3620381.0
1998,TWN,"China, Taiwan",MDG,Madagascar,32454.0
1998,TWN,"China, Taiwan",MYS,Malaysia,347953728.0
1998,TWN,"China, Taiwan",MLI,Mali,194500.0
1998,TWN,"China, Taiwan",MLT,Malta,6287.0
1998,TWN,"China, Taiwan",MUS,Mauritius,136443.0
1998,TWN,"China, Taiwan",MEX,Mexico,13297437.0
1998,TWN,"China, Taiwan",MDA,Rep. of Moldova,628.0
1998,TWN,"China, Taiwan",MAR,Morocco,18622.0
1998,TWN,"China, Taiwan",OMN,Oman,808.0
1998,TWN,"China, Taiwan",NLD,Netherlands,826293824.0
1998,TWN,"China, Taiwan",NZL,New Zealand,2481404.0
1998,TWN,"China, Taiwan",NGA,Nigeria,7724.0
1998,TWN,"China, Taiwan",NOR,Norway,78563.0
1998,TWN,"China, Taiwan",PAK,Pakistan,71588.0
1998,TWN,"China, Taiwan",PAN,Panama,59910.0
1998,TWN,"China, Taiwan",PNG,Papua New Guinea,22575.0
1998,TWN,"China, Taiwan",PRY,Paraguay,10687.0
1998,TWN,"China, Taiwan",PHL,Philippines,189874496.0
1998,TWN,"China, Taiwan",POL,Poland,733117.0
1998,TWN,"China, Taiwan",PRT,Portugal,933965.0
1998,TWN,"China, Taiwan",ROU,Romania,139108.0
1998,TWN,"China, Taiwan",RUS,Russian Federation,221234.0
1998,TWN,"China, Taiwan",SAU,Saudi Arabia,1040317.0
1998,TWN,"China, Taiwan",IND,India,21820456.0
1998,TWN,"China, Taiwan",SGP,Singapore,1099649920.0
1998,TWN,"China, Taiwan",SVK,Slovakia,103326.0
1998,TWN,"China, Taiwan",VNM,Viet Nam,11593196.0
1998,TWN,"China, Taiwan",SVN,Slovenia,170187.0
1998,TWN,"China, Taiwan",ZWE,Zimbabwe,18621.0
1998,TWN,"China, Taiwan",ESP,Spain,8792429.0
1998,TWN,"China, Taiwan",SDN,Sudan (...2011),19640.0
1998,TWN,"China, Taiwan",SWE,Sweden,13252827.0
1998,TWN,"China, Taiwan",CHE,Switzerland,33988472.0
1998,TWN,"China, Taiwan",SYR,Syria,140305.0
1998,TWN,"China, Taiwan",THA,Thailand,131344944.0
1998,TWN,"China, Taiwan",ARE,United Arab Emirates,7100580.0
1998,TWN,"China, Taiwan",TUN,Tunisia,6137.0
1998,TWN,"China, Taiwan",TUR,Türkiye,4451830.0
1998,TWN,"China, Taiwan",UKR,Ukraine,297798.0
1998,TWN,"China, Taiwan",MKD,North Macedonia,6377.0
1998,TWN,"China, Taiwan",EGY,Egypt,452026.0
1998,TWN,"China, Taiwan",GBR,United Kingdom,134514624.0
1998,TWN,"China, Taiwan",USA,USA,2192531712.0
1998,TWN,"China, Taiwan",VEN,Venezuela,57395.0
1998,TWN,"China, Taiwan",YEM,Yemen,46678.0
1998,TWN,"China, Taiwan",SCG,Serbia and Montenegro (...2005),11407.0
1997,TWN,"China, Taiwan",AND,Andorra,8029.0
1997,TWN,"China, Taiwan",AZE,Azerbaijan,1332.0
1997,TWN,"China, Taiwan",ARG,Argentina,2835773.0
1997,TWN,"China, Taiwan",AUS,Australia,25440972.0
1997,TWN,"China, Taiwan",AUT,Austria,12433752.0
1997,TWN,"China, Taiwan",BGD,Bangladesh,2103.0
1997,TWN,"China, Taiwan",BEL,Belgium-Luxembourg (...1998),13898327.0
1997,TWN,"China, Taiwan",BRA,Brazil,10931904.0
1997,TWN,"China, Taiwan",BRN,Brunei Darussalam,1367.0
1997,TWN,"China, Taiwan",BGR,Bulgaria,55259.0
1997,TWN,"China, Taiwan",MMR,Myanmar,1718.0
1997,TWN,"China, Taiwan",BLR,Belarus,20547.0
1997,TWN,"China, Taiwan",KHM,Cambodia,14445.0
1997,TWN,"China, Taiwan",CAN,Canada,36642976.0
1997,TWN,"China, Taiwan",LKA,Sri Lanka,4066.0
1997,TWN,"China, Taiwan",CHL,Chile,168094.0
1997,TWN,"China, Taiwan",CHN,China,13263148.0
1997,TWN,"China, Taiwan",COL,Colombia,40357.0
1997,TWN,"China, Taiwan",HRV,Croatia,12237.0
1997,TWN,"China, Taiwan",CYP,Cyprus,28857.0
1997,TWN,"China, Taiwan",CZE,Czechia,521431.0
1997,TWN,"China, Taiwan",DNK,Denmark,1406542.0
1997,TWN,"China, Taiwan",ECU,Ecuador,9958.0
1997,TWN,"China, Taiwan",SLV,El Salvador,771.0
1997,TWN,"China, Taiwan",EST,Estonia,3575.0
1997,TWN,"China, Taiwan",FIN,Finland,1177190.0
1997,TWN,"China, Taiwan",FRA,France,109493024.0
1997,TWN,"China, Taiwan",DEU,Germany,100169656.0
1997,TWN,"China, Taiwan",GRC,Greece,2217459.0
1997,TWN,"China, Taiwan",HKG,"China, Hong Kong SAR",2198942976.0
1997,TWN,"China, Taiwan",HUN,Hungary,412311.0
1997,TWN,"China, Taiwan",ISL,Iceland,6801.0
1997,TWN,"China, Taiwan",IDN,Indonesia,12986284.0
1997,TWN,"China, Taiwan",IRN,Iran,283732.0
1997,TWN,"China, Taiwan",IRL,Ireland,17468614.0
1997,TWN,"China, Taiwan",ISR,Israel,5175957.0
1997,TWN,"China, Taiwan",ITA,Italy,7914990.0
1997,TWN,"China, Taiwan",CIV,Côte d'Ivoire,1016.0
1997,TWN,"China, Taiwan",JPN,Japan,985554880.0
1997,TWN,"China, Taiwan",KAZ,Kazakhstan,2524.0
1997,TWN,"China, Taiwan",JOR,Jordan,12552.0
1997,TWN,"China, Taiwan",KEN,Kenya,4383.0
1997,TWN,"China, Taiwan",KOR,Rep. of Korea,457788864.0
1997,TWN,"China, Taiwan",KWT,Kuwait,16583.0
1997,TWN,"China, Taiwan",LBN,Lebanon,113044.0
1997,TWN,"China, Taiwan",LVA,Latvia,23071.0
1997,TWN,"China, Taiwan",LBY,Libya,40321.0
1997,TWN,"China, Taiwan",LTU,Lithuania,4663.0
1997,TWN,"China, Taiwan",MAC,"China, Macao SAR",889703.0
1997,TWN,"China, Taiwan",MDG,Madagascar,15041.0
1997,TWN,"China, Taiwan",MYS,Malaysia,287649632.0
1997,TWN,"China, Taiwan",MLT,Malta,187589.0
1997,TWN,"China, Taiwan",MUS,Mauritius,229736.0
1997,TWN,"China, Taiwan",MEX,Mexico,10525867.0
1997,TWN,"China, Taiwan",NLD,Netherlands,781352640.0
1997,TWN,"China, Taiwan",NCL,New Caledonia,1192.0
1997,TWN,"China, Taiwan",NZL,New Zealand,1652234.0
1997,TWN,"China, Taiwan",NGA,Nigeria,4347.0
1997,TWN,"China, Taiwan",NOR,Norway,311925.0
1997,TWN,"China, Taiwan",PAK,Pakistan,8941.0
1997,TWN,"China, Taiwan",PAN,Panama,1682.0
1997,TWN,"China, Taiwan",PRY,Paraguay,16899.0
1997,TWN,"China, Taiwan",PER,Peru,6767.0
1997,TWN,"China, Taiwan",PHL,Philippines,103389800.0
1997,TWN,"China, Taiwan",POL,Poland,1563345.0
1997,TWN,"China, Taiwan",PRT,Portugal,4828651.0
1997,TWN,"China, Taiwan",QAT,Qatar,3681.0
1997,TWN,"China, Taiwan",ROU,Romania,171739.0
1997,TWN,"China, Taiwan",RUS,Russian Federation,911198.0
1997,TWN,"China, Taiwan",SAU,Saudi Arabia,450215.0
1997,TWN,"China, Taiwan",SEN,Senegal,3260.0
1997,TWN,"China, Taiwan",IND,India,21534562.0
1997,TWN,"China, Taiwan",SGP,Singapore,1358503168.0
1997,TWN,"China, Taiwan",SVK,Slovakia,58940.0
1997,TWN,"China, Taiwan",VNM,Viet Nam,863652.0
1997,TWN,"China, Taiwan",SVN,Slovenia,233838.0
1997,TWN,"China, Taiwan",ESP,Spain,5500611.0
1997,TWN,"China, Taiwan",SDN,Sudan (...2011),3681.0
1997,TWN,"China, Taiwan",SUR,Suriname,1823.0
1997,TWN,"China, Taiwan",SWE,Sweden,28119208.0
1997,TWN,"China, Taiwan",CHE,Switzerland,30021726.0
1997,TWN,"China, Taiwan",SYR,Syria,121670.0
1997,TWN,"China, Taiwan",THA,Thailand,83409928.0
1997,TWN,"China, Taiwan",TON,Tonga,946.0
1997,TWN,"China, Taiwan",ARE,United Arab Emirates,7344470.0
1997,TWN,"China, Taiwan",TUN,Tunisia,876.0
1997,TWN,"China, Taiwan",TUR,Türkiye,2698253.0
1997,TWN,"China, Taiwan",UKR,Ukraine,222267.0
1997,TWN,"China, Taiwan",MKD,North Macedonia,13780.0
1997,TWN,"China, Taiwan",EGY,Egypt,36220.0
1997,TWN,"China, Taiwan",GBR,United Kingdom,151394112.0
1997,TWN,"China, Taiwan",USA,USA,2096657536.0
1997,TWN,"China, Taiwan",PUS,US Misc. Pacific Isds,3646.0
1997,TWN,"China, Taiwan",VEN,Venezuela,15144.0
1997,TWN,"China, Taiwan",YEM,Yemen,1858.0
1997,TWN,"China, Taiwan",SCG,Serbia and Montenegro (...2005),20195.0
1997,TWN,"China, Taiwan",ZMB,Zambia,1332.0
2010,TWN,"China, Taiwan",DZA,Algeria,1265.0
2010,TWN,"China, Taiwan",AGO,Angola,190.0
2010,TWN,"China, Taiwan",ARG,Argentina,5982339.0
2010,TWN,"China, Taiwan",AUS,Australia,7661156.0
2010,TWN,"China, Taiwan",AUT,Austria,18541915.0
2010,TWN,"China, Taiwan",BHR,Bahrain,13373.0
2010,TWN,"China, Taiwan",BGD,Bangladesh,5849.0
2010,TWN,"China, Taiwan",BEL,Belgium,7368939.0
2010,TWN,"China, Taiwan",BMU,Bermuda,2529.0
2010,TWN,"China, Taiwan",BOL,Bolivia (Plurinational State of),19538.0
2010,TWN,"China, Taiwan",BRA,Brazil,96032434.0
2010,TWN,"China, Taiwan",BLZ,Belize,59468.0
2010,TWN,"China, Taiwan",VGB,Br. Virgin Isds,179383.0
2010,TWN,"China, Taiwan",BRN,Brunei Darussalam,19380.0
2010,TWN,"China, Taiwan",BGR,Bulgaria,44093687.0
2010,TWN,"China, Taiwan",MMR,Myanmar,120706.0
2010,TWN,"China, Taiwan",BLR,Belarus,277484.0
2010,TWN,"China, Taiwan",KHM,Cambodia,397115.0
2010,TWN,"China, Taiwan",CAN,Canada,70092241.0
2010,TWN,"China, Taiwan",CYM,Cayman Isds,117197.0
2010,TWN,"China, Taiwan",LKA,Sri Lanka,38475.0
2010,TWN,"China, Taiwan",CHL,Chile,279097.0
2010,TWN,"China, Taiwan",CHN,China,11338984676.0
2010,TWN,"China, Taiwan",COL,Colombia,82705.0
2010,TWN,"China, Taiwan",CRI,Costa Rica,185706.0
2010,TWN,"China, Taiwan",HRV,Croatia,1834.0
2010,TWN,"China, Taiwan",CYP,Cyprus,2023.0
2010,TWN,"China, Taiwan",CZE,Czechia,9364980.0
2010,TWN,"China, Taiwan",DNK,Denmark,5915789.0
2010,TWN,"China, Taiwan",DOM,Dominican Rep.,4458.0
2010,TWN,"China, Taiwan",ECU,Ecuador,30066.0
2010,TWN,"China, Taiwan",EST,Estonia,38286.0
2010,TWN,"China, Taiwan",FJI,Fiji,145302.0
2010,TWN,"China, Taiwan",FIN,Finland,4205674.0
2010,TWN,"China, Taiwan",FRA,France,207939082.0
2010,TWN,"China, Taiwan",GAB,Gabon,948.0
2010,TWN,"China, Taiwan",GEO,Georgia,65822.0
2010,TWN,"China, Taiwan",DEU,Germany,251190167.0
2010,TWN,"China, Taiwan",GHA,Ghana,8536.0
2010,TWN,"China, Taiwan",GRC,Greece,149096.0
2010,TWN,"China, Taiwan",GUM,Guam,8473.0
2010,TWN,"China, Taiwan",GTM,Guatemala,95.0
2010,TWN,"China, Taiwan",HND,Honduras,1770.0
2010,TWN,"China, Taiwan",HKG,"China, Hong Kong SAR",14771005452.0
2010,TWN,"China, Taiwan",HUN,Hungary,164549587.0
2010,TWN,"China, Taiwan",ISL,Iceland,63609.0
2010,TWN,"China, Taiwan",IDN,Indonesia,55187815.0
2010,TWN,"China, Taiwan",IRN,Iran,242550.0
2010,TWN,"China, Taiwan",IRQ,Iraq,12931.0
2010,TWN,"China, Taiwan",IRL,Ireland,22600516.0
2010,TWN,"China, Taiwan",ISR,Israel,28508591.0
2010,TWN,"China, Taiwan",ITA,Italy,21378124.0
2010,TWN,"China, Taiwan",JPN,Japan,5528152598.0
2010,TWN,"China, Taiwan",KAZ,Kazakhstan,40847.0
2010,TWN,"China, Taiwan",JOR,Jordan,9326.0
2010,TWN,"China, Taiwan",PRK,Dem. People's Rep. of Korea,8378.0
2010,TWN,"China, Taiwan",KOR,Rep. of Korea,4262730744.0
2010,TWN,"China, Taiwan",KWT,Kuwait,47043.0
2010,TWN,"China, Taiwan",LBN,Lebanon,1770.0
2010,TWN,"China, Taiwan",LSO,Lesotho,1359.0
2010,TWN,"China, Taiwan",LVA,Latvia,2394042.0
2010,TWN,"China, Taiwan",LBY,Libya,7493.0
2010,TWN,"China, Taiwan",LTU,Lithuania,89913.0
2010,TWN,"China, Taiwan",LUX,Luxembourg,510487.0
2010,TWN,"China, Taiwan",MAC,"China, Macao SAR",61881870.0
2010,TWN,"China, Taiwan",MYS,Malaysia,1606874537.0
2010,TWN,"China, Taiwan",MLT,Malta,8563668.0
2010,TWN,"China, Taiwan",MUS,Mauritius,289498.0
2010,TWN,"China, Taiwan",MEX,Mexico,124222916.0
2010,TWN,"China, Taiwan",MNG,Mongolia,379.0
2010,TWN,"China, Taiwan",MDA,Rep. of Moldova,7177.0
2010,TWN,"China, Taiwan",MAR,Morocco,491676.0
2010,TWN,"China, Taiwan",OMN,Oman,1612.0
2010,TWN,"China, Taiwan",NAM,Namibia,1170.0
2010,TWN,"China, Taiwan",NRU,Nauru,10623.0
2010,TWN,"China, Taiwan",NPL,Nepal,126.0
2010,TWN,"China, Taiwan",NLD,Netherlands,202967315.0
2010,TWN,"China, Taiwan",NZL,New Zealand,513648.0
2010,TWN,"China, Taiwan",NIC,Nicaragua,348.0
2010,TWN,"China, Taiwan",NGA,Nigeria,16566.0
2010,TWN,"China, Taiwan",NOR,Norway,3208759.0
2010,TWN,"China, Taiwan",PLW,Palau,2751.0
2010,TWN,"China, Taiwan",PAK,Pakistan,139011.0
2010,TWN,"China, Taiwan",PAN,Panama,2308.0
2010,TWN,"China, Taiwan",PNG,Papua New Guinea,1897.0
2010,TWN,"China, Taiwan",PRY,Paraguay,19443.0
2010,TWN,"China, Taiwan",PER,Peru,17388.0
2010,TWN,"China, Taiwan",PHL,Philippines,1820910246.0
2010,TWN,"China, Taiwan",POL,Poland,23954995.0
2010,TWN,"China, Taiwan",PRT,Portugal,33159182.0
2010,TWN,"China, Taiwan",QAT,Qatar,1391.0
2010,TWN,"China, Taiwan",ROU,Romania,3068010.0
2010,TWN,"China, Taiwan",RUS,Russian Federation,10854139.0
2010,TWN,"China, Taiwan",AIA,Anguilla,44324.0
2010,TWN,"China, Taiwan",LCA,Saint Lucia,1834.0
2010,TWN,"China, Taiwan",VCT,Saint Vincent and the Grenadines,2340.0
2010,TWN,"China, Taiwan",SMR,San Marino,4869.0
2010,TWN,"China, Taiwan",SAU,Saudi Arabia,139959.0
2010,TWN,"China, Taiwan",SRB,Serbia,32469.0
2010,TWN,"China, Taiwan",IND,India,29996581.0
2010,TWN,"China, Taiwan",SGP,Singapore,6862474399.0
2010,TWN,"China, Taiwan",SVK,Slovakia,19277311.0
2010,TWN,"China, Taiwan",VNM,Viet Nam,117986203.0
2010,TWN,"China, Taiwan",SVN,Slovenia,442989.0
2010,TWN,"China, Taiwan",ZAF,South Africa,1591086.0
2010,TWN,"China, Taiwan",ZWE,Zimbabwe,1644.0
2010,TWN,"China, Taiwan",ESP,Spain,7770291.0
2010,TWN,"China, Taiwan",SWE,Sweden,10801785.0
2010,TWN,"China, Taiwan",CHE,Switzerland,21534681.0
2010,TWN,"China, Taiwan",SYR,Syria,21656.0
2010,TWN,"China, Taiwan",THA,Thailand,783709730.0
2010,TWN,"China, Taiwan",TTO,Trinidad and Tobago,95.0
2010,TWN,"China, Taiwan",ARE,United Arab Emirates,2522051.0
2010,TWN,"China, Taiwan",TUN,Tunisia,1485618.0
2010,TWN,"China, Taiwan",TUR,Türkiye,96457687.0
2010,TWN,"China, Taiwan",UGA,Uganda,411.0
2010,TWN,"China, Taiwan",UKR,Ukraine,451145.0
2010,TWN,"China, Taiwan",EGY,Egypt,660183.0
2010,TWN,"China, Taiwan",GBR,United Kingdom,26861421.0
2010,TWN,"China, Taiwan",USA,USA,1230187403.0
2010,TWN,"China, Taiwan",URY,Uruguay,23901.0
2010,TWN,"China, Taiwan",UZB,Uzbekistan,3604.0
2010,TWN,"China, Taiwan",VEN,Venezuela,95825.0
2010,TWN,"China, Taiwan",WSM,Samoa,47675.0
2010,TWN,"China, Taiwan",YEM,Yemen,58519.0
2009,TWN,"China, Taiwan",AFG,Afghanistan,20261.0
2009,TWN,"China, Taiwan",ALB,Albania,27995.0
2009,TWN,"China, Taiwan",ASM,American Samoa,5005.0
2009,TWN,"China, Taiwan",AND,Andorra,5884.0
2009,TWN,"China, Taiwan",AGO,Angola,7158.0
2009,TWN,"China, Taiwan",AZE,Azerbaijan,43009.0
2009,TWN,"China, Taiwan",ARG,Argentina,5918937.0
2009,TWN,"China, Taiwan",AUS,Australia,5003427.0
2009,TWN,"China, Taiwan",AUT,Austria,13112746.0
2009,TWN,"China, Taiwan",BHR,Bahrain,485.0
2009,TWN,"China, Taiwan",BGD,Bangladesh,37095.0
2009,TWN,"China, Taiwan",BEL,Belgium,9193378.0
2009,TWN,"China, Taiwan",BMU,Bermuda,13012.0
2009,TWN,"China, Taiwan",BOL,Bolivia (Plurinational State of),2760.0
2009,TWN,"China, Taiwan",BRA,Brazil,104596289.0
2009,TWN,"China, Taiwan",BLZ,Belize,64514.0
2009,TWN,"China, Taiwan",VGB,Br. Virgin Isds,562488.0
2009,TWN,"China, Taiwan",BRN,Brunei Darussalam,37883.0
2009,TWN,"China, Taiwan",BGR,Bulgaria,20229240.0
2009,TWN,"China, Taiwan",MMR,Myanmar,162544.0
2009,TWN,"China, Taiwan",BLR,Belarus,143193.0
2009,TWN,"China, Taiwan",KHM,Cambodia,17076.0
2009,TWN,"China, Taiwan",CAN,Canada,18157453.0
2009,TWN,"China, Taiwan",CYM,Cayman Isds,666493.0
2009,TWN,"China, Taiwan",CAF,Central African Rep.,16257.0
2009,TWN,"China, Taiwan",LKA,Sri Lanka,1859713.0
2009,TWN,"China, Taiwan",CHL,Chile,228362.0
2009,TWN,"China, Taiwan",CHN,China,8245097484.0
2009,TWN,"China, Taiwan",COL,Colombia,31544.0
2009,TWN,"China, Taiwan",CRI,Costa Rica,50440.0
2009,TWN,"China, Taiwan",HRV,Croatia,34668.0
2009,TWN,"China, Taiwan",CUB,Cuba,1820.0
2009,TWN,"China, Taiwan",CYP,Cyprus,109828.0
2009,TWN,"China, Taiwan",CZE,Czechia,23390000.0
2009,TWN,"China, Taiwan",DNK,Denmark,4176999.0
2009,TWN,"China, Taiwan",DOM,Dominican Rep.,8159.0
2009,TWN,"China, Taiwan",ECU,Ecuador,4307.0
2009,TWN,"China, Taiwan",SLV,El Salvador,2548.0
2009,TWN,"China, Taiwan",EST,Estonia,146074.0
2009,TWN,"China, Taiwan",FJI,Fiji,117987.0
2009,TWN,"China, Taiwan",FIN,Finland,3581329.0
2009,TWN,"China, Taiwan",FRA,France,191453784.0
2009,TWN,"China, Taiwan",ATF,Fr. South Antarctic Terr.,16045.0
2009,TWN,"China, Taiwan",GEO,Georgia,53504.0
2009,TWN,"China, Taiwan",DEU,Germany,213876257.0
2009,TWN,"China, Taiwan",GRC,Greece,377712.0
2009,TWN,"China, Taiwan",GRL,Greenland,212.0
2009,TWN,"China, Taiwan",GUY,Guyana,19958.0
2009,TWN,"China, Taiwan",HKG,"China, Hong Kong SAR",11506897156.0
2009,TWN,"China, Taiwan",HUN,Hungary,123934042.0
2009,TWN,"China, Taiwan",ISL,Iceland,303.0
2009,TWN,"China, Taiwan",IDN,Indonesia,79997812.0
2009,TWN,"China, Taiwan",IRN,Iran,166942.0
2009,TWN,"China, Taiwan",IRL,Ireland,21007078.0
2009,TWN,"China, Taiwan",ISR,Israel,17359415.0
2009,TWN,"China, Taiwan",ITA,Italy,16167863.0
2009,TWN,"China, Taiwan",CIV,Côte d'Ivoire,1577.0
2009,TWN,"China, Taiwan",JPN,Japan,4578367715.0
2009,TWN,"China, Taiwan",KAZ,Kazakhstan,24204.0
2009,TWN,"China, Taiwan",KOR,Rep. of Korea,2995954725.0
2009,TWN,"China, Taiwan",KWT,Kuwait,1122.0
2009,TWN,"China, Taiwan",LBN,Lebanon,40916.0
2009,TWN,"China, Taiwan",LVA,Latvia,943111.0
2009,TWN,"China, Taiwan",LTU,Lithuania,150624.0
2009,TWN,"China, Taiwan",LUX,Luxembourg,154658.0
2009,TWN,"China, Taiwan",MAC,"China, Macao SAR",56561921.0
2009,TWN,"China, Taiwan",MYS,Malaysia,964104004.0
2009,TWN,"China, Taiwan",MLT,Malta,19816709.0
2009,TWN,"China, Taiwan",MUS,Mauritius,337371.0
2009,TWN,"China, Taiwan",MEX,Mexico,40219685.0
2009,TWN,"China, Taiwan",MNG,Mongolia,6097.0
2009,TWN,"China, Taiwan",MDA,Rep. of Moldova,22293.0
2009,TWN,"China, Taiwan",MNE,Montenegro,7825.0
2009,TWN,"China, Taiwan",MAR,Morocco,749630.0
2009,TWN,"China, Taiwan",NPL,Nepal,19351.0
2009,TWN,"China, Taiwan",NLD,Netherlands,209326065.0
2009,TWN,"China, Taiwan",NZL,New Zealand,253901.0
2009,TWN,"China, Taiwan",NGA,Nigeria,61208.0
2009,TWN,"China, Taiwan",NOR,Norway,1161161.0
2009,TWN,"China, Taiwan",PLW,Palau,2032.0
2009,TWN,"China, Taiwan",PAK,Pakistan,368521.0
2009,TWN,"China, Taiwan",PAN,Panama,1759.0
2009,TWN,"China, Taiwan",PNG,Papua New Guinea,1577.0
2009,TWN,"China, Taiwan",PRY,Paraguay,2881.0
2009,TWN,"China, Taiwan",PER,Peru,25660.0
2009,TWN,"China, Taiwan",PHL,Philippines,1212761936.0
2009,TWN,"China, Taiwan",POL,Poland,17994546.0
2009,TWN,"China, Taiwan",PRT,Portugal,7240427.0
2009,TWN,"China, Taiwan",QAT,Qatar,6855.0
2009,TWN,"China, Taiwan",ROU,Romania,1543786.0
2009,TWN,"China, Taiwan",RUS,Russian Federation,7093565.0
2009,TWN,"China, Taiwan",AIA,Anguilla,31726.0
2009,TWN,"China, Taiwan",VCT,Saint Vincent and the Grenadines,7401.0
2009,TWN,"China, Taiwan",SAU,Saudi Arabia,194422.0
2009,TWN,"China, Taiwan",SRB,Serbia,89234.0
2009,TWN,"China, Taiwan",IND,India,20368551.0
2009,TWN,"China, Taiwan",SGP,Singapore,4720093813.0
2009,TWN,"China, Taiwan",SVK,Slovakia,15831341.0
2009,TWN,"China, Taiwan",VNM,Viet Nam,39681432.0
2009,TWN,"China, Taiwan",SVN,Slovenia,191752.0
2009,TWN,"China, Taiwan",ZAF,South Africa,1910063.0
2009,TWN,"China, Taiwan",ESP,Spain,3817729.0
2009,TWN,"China, Taiwan",SWE,Sweden,5205098.0
2009,TWN,"China, Taiwan",CHE,Switzerland,19394562.0
2009,TWN,"China, Taiwan",SYR,Syria,43009.0
2009,TWN,"China, Taiwan",THA,Thailand,547782747.0
2009,TWN,"China, Taiwan",TTO,Trinidad and Tobago,334.0
2009,TWN,"China, Taiwan",ARE,United Arab Emirates,1900417.0
2009,TWN,"China, Taiwan",TUN,Tunisia,838227.0
2009,TWN,"China, Taiwan",TUR,Türkiye,85537703.0
2009,TWN,"China, Taiwan",UKR,Ukraine,137157.0
2009,TWN,"China, Taiwan",MKD,North Macedonia,455.0
2009,TWN,"China, Taiwan",EGY,Egypt,806137.0
2009,TWN,"China, Taiwan",GBR,United Kingdom,24563324.0
2009,TWN,"China, Taiwan",TZA,United Rep. of Tanzania,1881.0
2009,TWN,"China, Taiwan",USA,USA,1130348475.0
2009,TWN,"China, Taiwan",URY,Uruguay,28299.0
2009,TWN,"China, Taiwan",UZB,Uzbekistan,4307.0
2009,TWN,"China, Taiwan",VEN,Venezuela,156872.0
2009,TWN,"China, Taiwan",WSM,Samoa,637709.0
2009,TWN,"China, Taiwan",YEM,Yemen,3094.0
2008,TWN,"China, Taiwan",AFG,Afghanistan,4076.0
2008,TWN,"China, Taiwan",ALB,Albania,191.0
2008,TWN,"China, Taiwan",DZA,Algeria,22034.0
2008,TWN,"China, Taiwan",AND,Andorra,5572.0
2008,TWN,"China, Taiwan",AGO,Angola,160288.0
2008,TWN,"China, Taiwan",AZE,Azerbaijan,29357.0
2008,TWN,"China, Taiwan",ARG,Argentina,6666869.0
2008,TWN,"China, Taiwan",AUS,Australia,3353048.0
